"contributor","address","agent","amount","date","committee","ward","lat","lon"
"Rapid Trans Services, Inc.","1441 Pennsylvania Avenue SE","JEANNE CLARKE HARRIS",1500,2010-06-11,"Kwame for Chair","Citywide","38.87944656","-76.98422913"
"Belle International, Inc.","1441 Pennsylvania Avenue SE","JEANNE  JEANNE CLARKE HARRIS",1500,2010-06-11,"Kwame for Chair","1","38.87944656","-76.98422913"
"Belle International, Inc.","1441 Pennsylvania Avenue SE","JEANNE  JEANNE CLARKE HARRIS",1000,2009-07-14,"Re-Elect Kwame R. Brown","Citywide","38.87944656","-76.98422913"
"Details International, Inc.","1441 Pennsylvania Avenue SE","E.C. HARRIS",1000,2009-07-14,"Re-Elect Kwame R. Brown","5","38.87944656","-76.98422913"
"1508 U Street Associates LLC","1508 U Street NW","JAIR LYNCH",300,2004-11-03,"Campaign to Elect Jeff Smith (TERM)","7","38.91679328","-77.03507760"
"The Jair Lynch Companies","1508 U Street NW","JAIR LYNCH",300,2004-11-03,"Campaign to Elect Jeff Smith (TERM)","Citywide","38.91679328","-77.03507760"
"JLC Development LLC","1508 U Street NW","JAIR LYNCH",500,2006-09-09,"Committee to Elect Carolyn Graham","4","38.91679328","-77.03507760"
"The Jair Lynch Companies","1508 U Street NW","JAIR LYNCH",500,2006-09-09,"Committee to Elect Carolyn Graham","Citywide","38.91679328","-77.03507760"
"JLC Equity Capitol LLC","1508 U Street NW","JAIR  LYNCH",500,2006-09-09,"Committee to Elect Carolyn Graham","7","38.91679328","-77.03507760"
"JLC Planning LLC","1508 U Street NW","JAIR LYNCH",500,2006-09-09,"Committee to Elect Carolyn Graham","4","38.91679328","-77.03507760"
"Blue Skye Tewkesbury LLC","1539 7th Street NW",,500,2011-07-26,"Bowser 2012","Citywide","38.91071501","-77.02164997"
"Blue Skye Construction LLC","1539 7th Street NW","BRYAN IRVING",500,2011-07-26,"Bowser 2012","Citywide","38.91071501","-77.02164997"
"Blue Skye Development LLC","1539 7th Street NW","BRYAN IRVING",500,2011-10-07,"Evans 2012","Citywide","38.91071501","-77.02164997"
"Blue Skye Construction LLC","1539 7th Street NW","BRYAN IRVING",500,2011-10-07,"Evans 2012","6","38.91071501","-77.02164997"
"Blue Skye Construction LLC","1539 7th Street NW","BRYAN IRVING",2000,2010-10-13,"Gray for Mayor","Citywide","38.91071501","-77.02164997"
"Blue Skye Development LLC","1539 7th Street NW","BRYAN IRVING",2000,2010-10-13,"Gray for Mayor","3","38.91071501","-77.02164997"
"Blue Skye Construction LLC","1539 7th Street NW","BRYAN IRVING",500,2011-08-18,"Re-Elect Yvette Alexander 2012","5","38.91071501","-77.02164997"
"Blue Skye Development LLC","1539 7th Street NW","BRYAN IRVING",500,2011-08-18,"Re-Elect Yvette Alexander 2012","5","38.91071501","-77.02164997"
"Blue Skye Construction LLC","1539 7th Street NW","BRYAN IRVING",500,2009-12-10,"Reelect Jim Graham 2010","6","38.91071501","-77.02164997"
"Blue Skye Development LLC","1539 7th Street NW","BRYAN IRVING",500,2009-12-10,"Reelect Jim Graham 2010","8","38.91071501","-77.02164997"
"Warder Mansion","1559 E Main St","C T CORPORATION SYSTEM UNK",500,2007-04-11,"Muriel Bowser for Ward 4","7","37.5341100878946","-77.4297793619294"
"Totten Tower","1559 E Main St","C T CORPORATION SYSTEM UNK",500,2007-04-11,"Muriel Bowser for Ward 4","Citywide","37.5411770620246","-77.4346147519339"
"1368 Euclid Street Tenant","1559 E Main St","C T CORPORATION SYSTEM UNK",500,2007-04-11,"Muriel Bowser for Ward 4","Citywide","37.5341100878946","-77.4297793619294"
"Medical Transportation MGMT., Inc.","16 Hawk Ridge Dr Lake St","C T CORPORATION SYSTEM",2000,2008-12-12,"Fenty 2010","Citywide","38.7881465058323","-90.7838709998189"
"LPG Contracting, Inc.","16 Hawk Ridge Dr Lake St",,2000,2008-12-12,"Fenty 2010","7","38.7881465058323","-90.7838709998189"
"LPG Properties II, LLC","16 Hawk Ridge Drive Lk",,1500,2010-06-11,"Kwame for Chair","5","38.7881465058323","-90.7838709998189"
"Medical Transportation Management","16 Hawk Ridge Drive Lk","C T CORPORATION SYSTEM",1500,2010-06-11,"Kwame for Chair","4","38.7881465058323","-90.7838709998189"
"Westgroup Development Company, LLC","1600 Anderson Rd",,2000,2006-03-09,"Citizens to Elect Linda Cropp Mayor","2","38.9265147494543","-77.2057113081446"
"6000 New Hampshire Avenue LLC","1600 Anderson Rd","C T CORPORATION SYSTEM UNK",2000,2006-03-09,"Citizens to Elect Linda Cropp Mayor","Citywide","38.9265147494543","-77.2057113081446"
"Four Points, LLC","1600 Anderson Rd","STAN  VOUDRIE",500,2007-11-28,"Muriel Bowser for Ward 4 2008","Citywide","38.9265147494543","-77.2057113081446"
"6000 New Hampshire Avenue LLC","1600 Anderson Rd","C T CORPORATION SYSTEM UNK",500,2007-11-28,"Muriel Bowser for Ward 4 2008","5","38.9265147494543","-77.2057113081446"
"6000 New Hampshire Avenue LLC","1600 Anderson Rd","C T CORPORATION SYSTEM UNK",500,2006-06-12,"Re-Elect Jim Graham (2006)","7","38.9265147494543","-77.2057113081446"
"14T, LLC","1600 Anderson Rd",,500,2006-06-12,"Re-Elect Jim Graham (2006)","Citywide","38.9265147494543","-77.2057113081446"
"Broadcast Residential Partners, LLC","1600 Anderson Rd","STAN  VOUDRIE",500,2006-06-12,"Re-Elect Jim Graham (2006)","7","38.9265147494543","-77.2057113081446"
"West Group Development Compan, LLC","1600 Anderson Rd",,500,2006-06-12,"Re-Elect Jim Graham (2006)","5","38.9265147494543","-77.2057113081446"
"814 Thayer, LLC","1600 Anderson Rd",,500,2006-06-12,"Re-Elect Jim Graham (2006)","Citywide","38.9265147494543","-77.2057113081446"
"W Street, LLC","1600 Anderson Rd","JOSEPH G. KISHA",1000,2007-07-16,"Re-Elect Kwame R. Brown","5","38.9265147494543","-77.2057113081446"
"Silver Hill Acquisition, LLC","1600 Anderson Rd","C T CORPORATION SYSTEM UNK",1000,2007-07-16,"Re-Elect Kwame R. Brown","7","38.9265147494543","-77.2057113081446"
"Galen Street, LLC","1600 Anderson Rd","ROY A. ELLIS",1000,2007-07-16,"Re-Elect Kwame R. Brown","8","38.9265147494543","-77.2057113081446"
"Four Points, LLC","1600 Anderson Rd","STAN  VOUDRIE",1000,2007-07-16,"Re-Elect Kwame R. Brown","Citywide","38.9265147494543","-77.2057113081446"
"Brookland Four Points Redevelopment, LLC","1600 Anderson Rd","LONNIE  SANDERS",1000,2007-07-16,"Re-Elect Kwame R. Brown","Citywide","38.9265147494543","-77.2057113081446"
"Broadcast Residential Partners, LLC","1600 Anderson Rd","STAN  VOUDRIE",1000,2007-07-16,"Re-Elect Kwame R. Brown","4","38.9265147494543","-77.2057113081446"
"14T, LLC","1600 Anderson Rd",,1000,2007-07-16,"Re-Elect Kwame R. Brown","4","38.9265147494543","-77.2057113081446"
"6000 New Hampshire Avenue LLC","1600 Anderson Rd","C T CORPORATION SYSTEM UNK",1000,2007-07-16,"Re-Elect Kwame R. Brown","5","38.9265147494543","-77.2057113081446"
"814 Thayer, LLC","1600 Anderson Rd",,1000,2007-07-16,"Re-Elect Kwame R. Brown","2","38.9265147494543","-77.2057113081446"
"ICG Penn Branch Associates, LLC","1600 K Street NW","STYLIANOS CHRISTOFIDES",500,2008-08-08,"Committee to Re-Elect Yvette Alexander","7","38.90223279","-77.03694636"
"ICG Penn Branch Partners, LLC","1600 K Street NW","STYLIANOS CHRISTOFIDES",500,2008-08-08,"Committee to Re-Elect Yvette Alexander","Citywide","38.90223279","-77.03694636"
"The Keystone Plus Construction Corp","1600 K Street NW No. 350","NATIONAL REGISTERED AGENTS INC.",1000,2008-08-28,"Re-Elect Kwame R. Brown","Citywide","38.90223279","-77.03694636"
"Capital Leasing Rentals, LLC","1600 K Street NW No. 350",,1000,2008-08-28,"Re-Elect Kwame R. Brown","2","38.90223279","-77.03694636"
"The G.K.D. 1412 Chapin St., LLC","1600 K Street NW No. 350",,500,2010-01-27,"Reelect Jim Graham 2010","7","38.90223279","-77.03694636"
"CVE, LLC","1600 K Street NW No. 350","JOSEPH L. SUEIRO",500,2010-01-27,"Reelect Jim Graham 2010","4","38.90223279","-77.03694636"
"Bannockburn Development Services Inc.","1615 M Street NW","CORPORATE SYSTEMS INC.",1500,2001-07-24,"Citizens To Reelect Linda Cropp, Chair","Citywide","38.90585437","-77.03735337"
"Portal Enterprises, Inc.","1615 M Street NW","CORPORATE SYSTEMS INC.",1500,2001-07-24,"Citizens To Reelect Linda Cropp, Chair","Citywide","38.90585437","-77.03735337"
"Days Inn Participation Corporation","1615 M Street NW","CORPORATE SYSTEMS INC.",500,2000-01-29,"Committee to Re-Elect Jack Evans","Citywide","38.90585437","-77.03735337"
"Goldberg GP Corporation No. 2","1615 M Street NW","CORPORATE SYSTEMS INC.",500,2000-01-29,"Committee to Re-Elect Jack Evans","5","38.90585437","-77.03735337"
"Augustine Participation Corporation","1615 M Street NW","CORPORATE SYSTEMS INC.",500,2000-01-29,"Committee to Re-Elect Jack Evans","Citywide","38.90585437","-77.03735337"
"Portal Enterprises, Inc.","1615 M Street NW","CORPORATE SYSTEMS INC.",500,2000-01-29,"Committee to Re-Elect Jack Evans","2","38.90585437","-77.03735337"
"Shadyside Associates Participation Corp.","1615 M Street NW","CORPORATE SYSTEMS INC.",500,2000-01-29,"Committee to Re-Elect Jack Evans","Citywide","38.90585437","-77.03735337"
"Goldberg GP Corporation No. 3","1615 M Street NW","CORPORATE SYSTEMS INC.",500,2000-01-29,"Committee to Re-Elect Jack Evans","1","38.90585437","-77.03735337"
"The Stephen A. Goldberg Company","1615 M Street NW","CORPORATE SYSTEMS INC.",500,2000-01-29,"Committee to Re-Elect Jack Evans","Citywide","38.90585437","-77.03735337"
"Goldberg GP Corporation","1615 M Street NW","CORPORATE SYSTEMS INC.",500,2003-07-18,"Evans 2004","Citywide","38.90585437","-77.03735337"
"Goldberg GP Corporation No. 2","1615 M Street NW","CORPORATE SYSTEMS INC.",500,2003-07-18,"Evans 2004","2","38.90585437","-77.03735337"
"Goldberg GP Corporation No. 3","1615 M Street NW","CORPORATE SYSTEMS INC.",500,2003-07-18,"Evans 2004","5","38.90585437","-77.03735337"
"Portal Enterprises, Inc.","1615 M Street NW","CORPORATE SYSTEMS INC.",500,2003-07-18,"Evans 2004","Citywide","38.90585437","-77.03735337"
"The Stephen A. Goldberg Company","1615 M Street NW","CORPORATE SYSTEMS INC.",500,2003-07-18,"Evans 2004","Citywide","38.90585437","-77.03735337"
"Foxhall investments LTD.","1615 M Street NW","CORPORATE SYSTEMS INC.",2000,2006-11-04,"Fenty 2006","7","38.90585437","-77.03735337"
"Portal Enterprises, Inc.","1615 M Street NW","CORPORATE SYSTEMS INC.",2000,2006-11-04,"Fenty 2006","Citywide","38.90585437","-77.03735337"
"Goldberg GP Corporation No. 3","1615 M Street NW","CORPORATE SYSTEMS INC.",2000,2006-11-04,"Fenty 2006","8","38.90585437","-77.03735337"
"Goldberg GP Corporation No. 3","1615 M Street NW","CORPORATE SYSTEMS INC.",2000,2006-11-04,"Fenty 2006","Citywide","38.90585437","-77.03735337"
"GP Corporation","1615 M Street NW No. 850",,1500,2001-07-24,"Citizens To Reelect Linda Cropp, Chair","Citywide","38.90585437","-77.03735337"
"Goldberg Corporation","1615 M Street NW No. 850",,1500,2001-07-24,"Citizens To Reelect Linda Cropp, Chair","4","38.90585437","-77.03735337"
"GP Corporation #3","1615 M Street NW No. 850",,1500,2001-07-24,"Citizens To Reelect Linda Cropp, Chair","5","38.90585437","-77.03735337"
"1100 First Street, LLC","1615 M Street NW No. 850","CORPORATE SYSTEMS INC.",2000,2005-10-31,"Citizens to Elect Linda Cropp Mayor","7","38.90585437","-77.03735337"
"301 North Stone Street, LLC","1615 M Street NW No. 850",,2000,2005-10-31,"Citizens to Elect Linda Cropp Mayor","4","38.90585437","-77.03735337"
"840 First Street, LLC","1615 M Street NW No. 850","CORPORATE SYSTEMS INC.",2000,2005-10-31,"Citizens to Elect Linda Cropp Mayor","7","38.90585437","-77.03735337"
"Arboretum Building LLC","1615 M Street NW No. 850",,2000,2005-10-31,"Citizens to Elect Linda Cropp Mayor","7","38.90585437","-77.03735337"
"Augustine Homes LLC","1615 M Street NW No. 850",,2000,2005-10-31,"Citizens to Elect Linda Cropp Mayor","7","38.90585437","-77.03735337"
"Augustine Land & Development LLC","1615 M Street NW No. 850",,2000,2005-10-31,"Citizens to Elect Linda Cropp Mayor","4","38.90585437","-77.03735337"
"Braiwood GP Corporation","1615 M Street NW No. 850",,2000,2005-10-31,"Citizens to Elect Linda Cropp Mayor","7","38.90585437","-77.03735337"
"Derekwood Investors LLC","1615 M Street NW No. 850",,2000,2005-10-31,"Citizens to Elect Linda Cropp Mayor","4","38.90585437","-77.03735337"
"Goldberg GP Corporation No.2","1615 M Street NW No. 850","CORPORATE SYSTEMS INC.",2000,2005-10-31,"Citizens to Elect Linda Cropp Mayor","3","38.90585437","-77.03735337"
"Goldberg GP Corporation No. 3","1615 M Street NW No. 850","CORPORATE SYSTEMS INC.",2000,2005-10-31,"Citizens to Elect Linda Cropp Mayor","Citywide","38.90585437","-77.03735337"
"Harmans Investors No. 1 LLC","1615 M Street NW No. 850",,2000,2005-10-31,"Citizens to Elect Linda Cropp Mayor","Citywide","38.90585437","-77.03735337"
"Harmans Investors No.2 LLC","1615 M Street NW No. 850",,2000,2005-10-31,"Citizens to Elect Linda Cropp Mayor","7","38.90585437","-77.03735337"
"King Park Apartments, Inc.","1615 M Street NW No. 850",,2000,2005-10-31,"Citizens to Elect Linda Cropp Mayor","7","38.90585437","-77.03735337"
"Logwood Estates Inc.","1615 M Street NW No. 850",,2000,2005-10-31,"Citizens to Elect Linda Cropp Mayor","Citywide","38.90585437","-77.03735337"
"PG Towers Inc.","1615 M Street NW No. 850",,2000,2005-10-31,"Citizens to Elect Linda Cropp Mayor","7","38.90585437","-77.03735337"
"Portal Enterprises, Inc.","1615 M Street NW No. 850","CORPORATE SYSTEMS INC.",2000,2005-10-31,"Citizens to Elect Linda Cropp Mayor","7","38.90585437","-77.03735337"
"Redland Tech Center 2 LLC","1615 M Street NW No. 850",,2000,2005-10-31,"Citizens to Elect Linda Cropp Mayor","7","38.90585437","-77.03735337"
"Redland Tech Center 3 LLC","1615 M Street NW No. 850",,2000,2005-10-31,"Citizens to Elect Linda Cropp Mayor","Citywide","38.90585437","-77.03735337"
"SA Goldberg Company","1615 M Street NW No. 850","CORPORATE SYSTEMS INC.",2000,2005-10-31,"Citizens to Elect Linda Cropp Mayor","Citywide","38.90585437","-77.03735337"
"DC Legal","1615 New Hampshire Avenue NW",,500,2011-11-15,"Bowser 2012","7","38.91204023","-77.04082719"
"Paulson & Nace PLLC","1615 New Hampshire Avenue NW",,500,2011-11-22,"Bowser 2012","Citywide","38.91204023","-77.04082719"
"Paulson & Nace PLLC","1615 New Hampshire Avenue NW",,1000,2011-02-01,"Committee to Elect Sekou Biddle At-Large","Citywide","38.91204023","-77.04082719"
"DC Legal","1615 New Hampshire Avenue NW","NATIONAL REGISTERED AGENTS INC.",1000,2011-02-01,"Committee to Elect Sekou Biddle At-Large","4","38.91204023","-77.04082719"
"DC Legal","1615 New Hampshire Avenue NW","NATIONAL REGISTERED AGENTS INC.",500,2011-06-25,"Evans 2012","Citywide","38.91204023","-77.04082719"
"Paulson & Nace PLLC","1615 New Hampshire Avenue NW",,500,2011-06-25,"Evans 2012","Citywide","38.91204023","-77.04082719"
"DC Legal","1615 New Hampshire Avenue NW","NATIONAL REGISTERED AGENTS INC.",1500,2010-06-01,"Kwame for Chair","Citywide","38.91204023","-77.04082719"
"Paulson & Nace PLLC","1615 New Hampshire Avenue NW",,1500,2010-06-01,"Kwame for Chair","7","38.91204023","-77.04082719"
"Paulson & Nace PLLC","1615 New Hampshire Avenue NW",,1000,2012-02-01,"Michael Brown 2012","7","38.91204023","-77.04082719"
"DC Legal","1615 New Hampshire Avenue NW",,1000,2012-02-02,"Michael Brown 2012","5","38.91204023","-77.04082719"
"Triangle Ventures, LLC","1615 New Hampshire Avenue NW","BRIAN J. BARLIA",500,2006-06-08,"Re-Elect Jim Graham (2006)","5","38.91204023","-77.04082719"
"Maycroft Apartments","1615 New Hampshire Avenue NW",,500,2006-06-08,"Re-Elect Jim Graham (2006)","7","38.91204023","-77.04082719"
"Peak Corporation, LLC","1615 New Hampshire Avenue NW",,500,2006-06-08,"Re-Elect Jim Graham (2006)","5","38.91204023","-77.04082719"
"DC Legal","1615 New Hampshire Avenue NW","NATIONAL REGISTERED AGENTS INC.",500,2009-07-31,"Re-Elect Tommy Wells","Citywide","38.91204023","-77.04082719"
"Paulson & Nace PLLC","1615 New Hampshire Avenue NW",,500,2009-07-31,"Re-Elect Tommy Wells","8","38.91204023","-77.04082719"
"Paulson & Nace PLLC","1615 New Hampshire Avenue NW",,500,2011-10-10,"Re-Elect Yvette Alexander 2012","8","38.91204023","-77.04082719"
"DC Legal","1615 New Hampshire Avenue NW","NATIONAL REGISTERED AGENTS INC.",500,2011-10-10,"Re-Elect Yvette Alexander 2012","Citywide","38.91204023","-77.04082719"
"DC Legal","1615 New Hampshire Avenue NW","NATIONAL REGISTERED AGENTS INC.",500,2010-01-27,"Reelect Jim Graham 2010","5","38.91204023","-77.04082719"
"Paulson & Nace PLLC","1615 New Hampshire Avenue NW",,500,2010-01-27,"Reelect Jim Graham 2010","7","38.91204023","-77.04082719"
"DC Legal","1615 New Hampshire Avenue NW","NATIONAL REGISTERED AGENTS INC.",500,2010-04-07,"Thomas 2010","2","38.91204023","-77.04082719"
"Paulson & Nace PLLC","1615 New Hampshire Avenue NW",,500,2010-04-07,"Thomas 2010","5","38.91204023","-77.04082719"
"Taba Cove LLC","1619 Longfellow Street NW",,500,2008-02-20,"Muriel Bowser for Ward 4 2008","8","38.95813784","-77.03770983"
"Portal Street LLP","1619 Longfellow Street NW","UNAVAILABLE",500,2008-02-20,"Muriel Bowser for Ward 4 2008","Citywide","38.95813784","-77.03770983"
"Thida Hassan","1619 Longfellow Street NW",,500,2008-02-20,"Muriel Bowser for Ward 4 2008","3","38.95813784","-77.03770983"
"Greenstein, DeLorme & Luchs, PC","1620 L Street NW No. 900","ABRAHAM J. GREENSTEIN",2000,2000-06-21,"Committee to Re-Elect Tony Williams","7","38.90340232","-77.03758405"
"Regional Title Incorporated","1620 L Street NW No. 900","UNAVAILABLE",2000,2000-06-22,"Committee to Re-Elect Tony Williams","5","38.90340232","-77.03758405"
"BDC Construction LLC","1626 Nicholson Street NW","PAMELA BUNDY",500,2011-07-26,"Bowser 2012","1","38.96000014","-77.03734794"
"Bundy Development Corp","1626 Nicholson Street NW","PAMELA  BUNDY",500,2011-07-26,"Bowser 2012","Citywide","38.96000014","-77.03734794"
"H&D Bridges, Inc.","1637 Montague Street NW",,500,2006-10-03,"Bobb for School Board President","8","38.95973656","-77.03818188"
"PRM Consulting, Inc.","1637 Montague Street NW","JIM MOSS",500,2006-10-03,"Bobb for School Board President","6","38.95973656","-77.03818188"
"Cadence, LLC","1700 Myrtle Rd","DIMITRI P. MALLIOS",500,2002-06-07,"Re-Elect Jim Graham","7","39.0167040792171","-77.0381153068174"
"Cadence, LLC","1700 Myrtle Rd","DIMITRI P. MALLIOS",500,2002-06-07,"Re-Elect Jim Graham","7","39.0167040792171","-77.0381153068174"
"3140 Dumbarton L.C.","1700 N Moore St No. 2020","G. JOHN CECCHI",500,2011-07-06,"Evans 2012","Citywide","38.895061986925","-77.0715529838273"
"1699 31st St., LC","1700 N Moore St No. 2020","JOHN CECCHI",500,2011-07-06,"Evans 2012","Citywide","38.895061986925","-77.0715529838273"
"Cecchi Investments Washington LC","1700 N Moore St No. 2020",,500,2011-07-06,"Evans 2012","Citywide","38.895061986925","-77.0715529838273"
"N Street Development","1700 N Moore St No. 2020",,500,2011-07-06,"Evans 2012","Citywide","38.895061986925","-77.0715529838273"
"IDI Residential LC","1700 N Moore St No. 2020","OLIVIA SHAY BYRNE, ESQ.",500,2011-07-06,"Evans 2012","4","38.895061986925","-77.0715529838273"
"IDI Washington Holdings, LC","1700 N Moore St No. 2020",,500,2011-07-06,"Evans 2012","Citywide","38.895061986925","-77.0715529838273"
"BH Army Guesthouses, LLC","1700 Rio",,2000,2002-11-25,"Committee to Re-Elect Tony Williams","4","30.271275734326","-97.7420569914035"
"Lackland Military Housing Corporation","1700 Rio",,2000,2002-11-25,"Committee to Re-Elect Tony Williams","Citywide","30.271275734326","-97.7420569914035"
"Gardiner, Kamya & Associates, PC","1717 K Street NW No. 601",,500,2004-08-18,"Committee to Re-Elect Sandy Allen 04","1","38.90283985","-77.04025044"
"Gardiner, Kamya & Associates, PC","1717 K Street NW No. 601",,500,2004-08-20,"Committee to Re-Elect Sandy Allen 04","Citywide","38.90283985","-77.04025044"
"Gragg & Associates, LLC","1718 M Street NW No. 293",,500,2002-05-01,"Re-Elect Jim Graham","8","38.90540333","-77.03900721"
"Gragg & Associates, LLC","1718 M Street NW No. 293",,500,2002-05-01,"Re-Elect Jim Graham","1","38.90540333","-77.03900721"
"Intrepid Eye Street, LLC","1720 I Street NW","C. RICHARD BEYDA",500,2004-01-27,"Evans 2004","5","38.90102594","-77.04047215"
"Intrepid K Street","1720 I Street NW","C. RICHARD BEYDA",500,2004-01-27,"Evans 2004","6","38.90102594","-77.04047215"
"Johnson Enterprises","1721 1st Street NW",,2000,2008-12-12,"Fenty 2010","3","38.91321992","-77.01189942"
"Easyrider Courier Service","1721 1st Street NW",,2000,2008-12-12,"Fenty 2010","1","38.91321992","-77.01189942"
"Airport Plaza II, Inc.","1725 De Sales Street NW No. 900",,2000,2002-09-11,"Committee to Re-Elect Tony Williams","Citywide","38.90497888","-77.03973827"
"Airport Plaza Management Corp.","1725 De Sales Street NW No. 900",,2000,2002-09-11,"Committee to Re-Elect Tony Williams","Citywide","38.90497888","-77.03973827"
"Konterra Limited Partnership","1725 De Sales Street NW No. 900",,2000,2002-09-11,"Committee to Re-Elect Tony Williams","Citywide","38.90497888","-77.03973827"
"Lexington-407, LLC","1725 De Sales Street NW No. 900",,2000,2002-09-11,"Committee to Re-Elect Tony Williams","Citywide","38.90497888","-77.03973827"
"The Crossroads, LLC","1725 De Sales Street NW No. 900",,2000,2002-09-11,"Committee to Re-Elect Tony Williams","8","38.90497888","-77.03973827"
"Third Gould LLC","1725 De Sales Street NW No. 900",,2000,2002-09-11,"Committee to Re-Elect Tony Williams","Citywide","38.90497888","-77.03973827"
"Greyhoud Partners Corp","1725 De Sales Street NW No. 900",,2000,2002-09-16,"Committee to Re-Elect Tony Williams","8","38.90497888","-77.03973827"
"Konterra Limited Partnership","1725 De Sales Street NW No. 900","CORPORATION SERVICE COMPANY",500,2008-03-19,"Evans 2008","Citywide","38.90497888","-77.03973827"
"Second Gould","1725 De Sales Street NW No. 900",,500,2008-03-19,"Evans 2008","Citywide","38.90497888","-77.03973827"
"Gould Properties LLLP","1725 De Sales Street NW No. 900",,500,2008-06-16,"Evans 2008","Citywide","38.90497888","-77.03973827"
"Lexington","1725 De Sales Street NW No. 900","C T CORPORATION SYSTEM UNK",500,2008-06-16,"Evans 2008","8","38.90497888","-77.03973827"
"Gould Property Company","1725 De Sales Street NW No. 900","C T CORPORATION SYSTEM UNK",2000,2009-10-15,"Fenty 2010","Citywide","38.90497888","-77.03973827"
"Gould Properties LLLP","1725 De Sales Street NW No. 900",,2000,2009-10-15,"Fenty 2010","Citywide","38.90497888","-77.03973827"
"Lexington-407, LLC","1725 De Sales Street NW No. 900",,1000,2008-07-23,"Re-Elect Kwame R. Brown","Citywide","38.90497888","-77.03973827"
"Gould Property Company","1725 De Sales Street NW No. 900","C T CORPORATION SYSTEM UNK",1000,2008-07-23,"Re-Elect Kwame R. Brown","8","38.90497888","-77.03973827"
"4500 Wisconsin LLC","1730 Rhode Island Avenue NW","CORPORATION SERVICE COMPANY",2000,2008-12-08,"Fenty 2010","4","38.90593930","-77.03961878"
"Roadside Development LLC","1730 Rhode Island Avenue NW","CORPORATION SERVICE COMPANY",2000,2008-12-08,"Fenty 2010","Citywide","38.90593930","-77.03961878"
"4500 Wisconsin LLC","1730 Rhode Island Avenue NW","CORPORATION SERVICE COMPANY",500,2009-06-18,"Re-elect Cheh 2010","4","38.90593930","-77.03961878"
"Roadside Development LLC","1730 Rhode Island Avenue NW","CORPORATION SERVICE COMPANY",500,2009-06-18,"Re-elect Cheh 2010","2","38.90593930","-77.03961878"
"Bruce Klores & Associates","1735 20th Street NW",,500,2007-04-19,"Dr. Victor Vandell for Ward 7","1","38.91372134","-77.04459329"
"1735 20th Street LLC","1735 20th Street NW","L. PALMER FORET",500,2007-04-19,"Dr. Victor Vandell for Ward 7","Citywide","38.91372134","-77.04459329"
"1735 20th Street LLC","1735 20th Street NW","L. PALMER FORET",2000,2008-12-17,"Fenty 2010","Citywide","38.91372134","-77.04459329"
"Bruce J. Klores & Associates","1735 20th Street NW",,2000,2008-12-17,"Fenty 2010","Citywide","38.91372134","-77.04459329"
"Law Firm of L Palmer Foret PC","1735 20th Street NW","L. PALMER FORET",500,2008-01-22,"Muriel Bowser for Ward 4 2008","8","38.91372134","-77.04459329"
"Bruce Klores & Associates","1735 20th Street NW",,500,2008-01-29,"Muriel Bowser for Ward 4 2008","4","38.91372134","-77.04459329"
"1735 20th Street LLC","1735 20th Street NW","L. PALMER FORET",500,2008-01-29,"Muriel Bowser for Ward 4 2008","Citywide","38.91372134","-77.04459329"
"Bruce Klores & Associates","1735 20th Street NW",,1000,2008-03-17,"Re-Elect Kwame R. Brown","Citywide","38.91372134","-77.04459329"
"1735 20th Street LLC","1735 20th Street NW","L. PALMER FORET",1000,2008-03-17,"Re-Elect Kwame R. Brown","Citywide","38.91372134","-77.04459329"
"GBSK","1746 N Street NW","PETRA  ROBINSON",1000,2006-05-19,"Bolden 2006 DC Council Member at Large","3","38.90705829","-77.04021904"
"KMI Delano","1746 N Street NW",,1000,2006-05-19,"Bolden 2006 DC Council Member at Large","Citywide","38.90705829","-77.04021904"
"Keener Management, Inc.","1746 N Street NW","PETRA ROBINNSON",500,2010-01-23,"Reelect Jim Graham 2010","1","38.90705829","-77.04021904"
"2110 19th St., LLC","1746 N Street NW","LPRA INC.",500,2010-01-23,"Reelect Jim Graham 2010","6","38.90705829","-77.04021904"
"Kenyon House, LLC","1763 Columbia Road NW","CORPORATION SERVICE COMPANY",500,2002-06-05,"Re-Elect Jim Graham","Citywide","38.92375866","-77.04176199"
"Kenyon House, LLC","1763 Columbia Road NW","CORPORATION SERVICE COMPANY",500,2002-06-05,"Re-Elect Jim Graham","6","38.92375866","-77.04176199"
"Sunbelt Transport Inc.","1801 Art Museum Dr",,1000,2008-06-13,"Friends of Michael Brown","7","30.3046283204097","-81.6175351506101"
"Florida Rock Tanklines","1801 Art Museum Dr","CORPORATION SERVICE COMPANY",1000,2008-06-13,"Friends of Michael Brown","4","30.3046283204097","-81.6175351506101"
"Alazar","1801 Pennsylvania Avenue NW No. 1200",,500,2003-07-18,"Evans 2004","Citywide","38.90041435","-77.04202881"
"Georgetown Restructure, LLC","1801 Pennsylvania Avenue NW No. 1200","ANTHONY M. LANIER",500,2003-07-18,"Evans 2004","8","38.90041435","-77.04202881"
"Square 71","1801 Pennsylvania Avenue NW No. 1200","UNAVAILABLE",500,2003-07-18,"Evans 2004","5","38.90041435","-77.04202881"
"The Morris & Gwendolyn Cafritz Found./Ambas","1825 K Street NW No. 1200",,1000,2003-04-24,"Brazil 2004 Committee","Citywide","38.90286205","-77.04243398"
"Ambassador, Inc.","1825 K Street NW No. 1200",,1000,2003-04-24,"Brazil 2004 Committee","1","38.90286205","-77.04243398"
